IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
190.93.246.202,4,4,0.00,605.10,0.00,N/A
104.16.177.131,4,4,0.00,605.11,0.00,N/A
104.19.12.104,4,4,0.00,605.41,0.00,N/A
108.162.193.23,4,4,0.00,605.63,0.00,N/A
104.17.20.206,4,4,0.00,605.92,0.00,N/A
104.17.35.242,4,4,0.00,607.15,0.00,N/A
104.16.235.39,4,4,0.00,611.13,0.00,N/A
104.17.3.178,4,4,0.00,611.69,0.00,N/A
104.16.225.252,4,4,0.00,611.97,0.00,N/A
162.159.9.102,4,4,0.00,613.50,0.00,N/A
172.64.92.149,4,4,0.00,613.57,0.00,N/A
172.64.48.154,4,4,0.00,614.98,0.00,N/A
104.17.4.92,4,4,0.00,615.09,0.00,N/A
104.16.206.236,4,4,0.00,615.61,0.00,N/A
104.17.28.204,4,4,0.00,616.50,0.00,N/A
104.18.221.104,4,4,0.00,616.82,0.00,N/A
104.16.229.0,4,4,0.00,617.52,0.00,N/A
104.17.59.252,4,4,0.00,620.07,0.00,N/A
104.17.18.205,4,4,0.00,620.17,0.00,N/A
104.18.250.62,4,4,0.00,620.89,0.00,N/A
104.18.178.135,4,4,0.00,625.20,0.00,N/A
104.19.79.196,4,4,0.00,625.25,0.00,N/A
172.64.35.209,4,4,0.00,625.40,0.00,N/A
104.19.84.197,4,4,0.00,625.80,0.00,N/A
172.64.38.197,4,4,0.00,627.30,0.00,N/A
104.16.171.25,4,4,0.00,627.65,0.00,N/A
104.19.62.87,4,4,0.00,633.98,0.00,N/A
172.64.32.85,4,4,0.00,634.58,0.00,N/A
172.64.46.189,4,4,0.00,634.74,0.00,N/A
104.16.208.69,4,4,0.00,635.23,0.00,N/A
198.41.202.6,4,4,0.00,638.37,0.00,N/A
104.16.183.109,4,4,0.00,638.88,0.00,N/A
104.16.253.38,4,4,0.00,640.94,0.00,N/A
104.16.181.102,4,4,0.00,644.48,0.00,N/A
104.16.228.120,4,4,0.00,647.56,0.00,N/A
104.16.249.8,4,4,0.00,665.88,0.00,N/A
172.64.36.173,4,4,0.00,673.30,0.00,N/A
104.27.122.250,4,3,0.25,182.14,0.00,N/A
104.27.108.143,4,3,0.25,185.94,0.00,N/A
104.27.200.96,4,3,0.25,189.79,0.00,N/A
104.27.115.117,4,3,0.25,195.08,0.00,N/A
104.27.197.107,4,3,0.25,195.52,0.00,N/A
104.27.202.53,4,3,0.25,196.06,0.00,N/A
104.27.206.108,4,3,0.25,206.77,0.00,N/A
172.66.152.252,4,3,0.25,213.31,0.00,N/A
104.27.204.56,4,3,0.25,213.56,0.00,N/A
104.27.86.5,4,3,0.25,218.02,0.00,N/A
172.67.91.228,4,3,0.25,218.48,0.00,N/A
104.27.196.96,4,3,0.25,227.40,0.00,N/A
104.27.192.201,4,3,0.25,232.58,0.00,N/A
